index,RowNum,DumpTblNm,DumpFldNm,AccessTblNm,AccessFldNm,IndexOnField,DataFormat,NULL_allowed,ForeignKey,ForeignKeyBaseField
0,,,,ADDR_BELONGS_DATA,c_addr_id,Primary Key,Long,0,ADDR_CODES,c_addr_id
1,,,,ADDR_BELONGS_DATA,c_belongs_to,Primary Key,Long,0,ADDR_CODES,c_addr_id
2,,,,ADDR_BELONGS_DATA,c_first_year,,Integer,1,,
3,,,,ADDR_BELONGS_DATA,c_last_year,,Integer,1,,
4,,,,ADDR_BELONGS_DATA,c_notes,,Memo,1,,
5,,,,ADDR_BELONGS_DATA,c_pages,,Text,1,,
6,,,,ADDR_BELONGS_DATA,c_source,,Long,1,TEXT_CODES,c_textid
7,,,,ADDR_CODES,c_addr_id,Primary Key,Long,0,,
8,,,,ADDR_CODES,c_admin_type,,Text,0,,
9,,,,ADDR_CODES,c_alt_names,,Text,1,,
10,,,,ADDR_CODES,c_firstyear,,Integer,1,,
11,,,,ADDR_CODES,c_lastyear,,Integer,1,,
12,,,,ADDR_CODES,c_name,,Text,0,,
13,,,,ADDR_CODES,c_name_chn,,Text,0,,
14,,,,ADDR_CODES,c_notes,,Memo,1,,
15,,,,ADDR_CODES,CHGIS_PT_ID,,Long,1,,
16,,,,ADDR_CODES,x_coord,,Double,0,,
17,,,,ADDR_CODES,y_coord,,Double,0,,
18,,,,ADDR_XY,c_addr_id,Primary Key,Long,0,ADDR_CODES,c_addr_id
19,,,,ADDR_XY,c_notes,,Memo,0,,
20,,,,ADDR_XY,c_source_id,,Long,0,,
21,,,,ADDR_XY,c_source_reference,,Text,0,,
22,,,,ADDR_XY,x_coord,,Double,0,,
23,,,,ADDR_XY,y_coord,,Double,0,,
24,336.0,name_types,code,ALTNAME_CODES,c_name_type_code,Primary Key,Integer,0,,
25,337.0,name_types,desc,ALTNAME_CODES,c_name_type_desc,,Text,0,,
26,338.0,name_types,descchn,ALTNAME_CODES,c_name_type_desc_chn,,Text,0,,
27,269.0,fix_altnames,別名拼音(c_alt_name),altname_data,c_alt_name,,Text,0,,
28,270.0,fix_altnames,別名漢字(c_alt_name_chn),altname_data,c_alt_name_chn,Primary Key,Text,0,,
29,271.0,fix_altnames,別名類別代碼(c_alt_name_type_code),altname_data,c_alt_name_type_code,Primary Key,Integer,0,ALTNAME_CODES,c_name_type_code
30,,,,ALTNAME_DATA,c_created_by,,Text,0,,
31,,,,ALTNAME_DATA,c_created_date,,Text,0,,
32,,,,ALTNAME_DATA,c_modified_by,,Text,0,,
33,,,,ALTNAME_DATA,c_modified_date,,Text,0,,
34,276.0,fix_altnames,注(c_notes),altname_data,c_notes,,Text,1,,
35,275.0,fix_altnames,頁碼/條目(c_pages),altname_data,c_pages,,Text,1,,
36,268.0,fix_altnames,c_personid,altname_data,c_personid,Primary Key,Long,0,BIOG_MAIN,c_personid
37,274.0,fix_altnames,出處(c_source),altname_data,c_source,,Long,1,TEXT_CODES,c_textid
38,267.0,fix_altnames,tts_sysno,altname_data,tts_sysno,,Long,0,,
39,12.0,appointment_type_codes,code,appointment_type_codes,c_appt_type_code,Primary,Long,0,,
40,14.0,appointment_type_codes,typedesc,appointment_type_codes,c_appt_type_desc,,Text,0,,
41,13.0,appointment_type_codes,deschn,appointment_type_codes,c_appt_type_desc_chn,,Text,0,,
42,,,,ASSOC_CODE_TYPE_REL,c_assoc_code,Primary Key,Integer,0,ASSOC_CODES,c_assoc_code
43,,,,ASSOC_CODE_TYPE_REL,c_assoc_type_id,Primary Key,Text,0,ASSOC_TYPES,c_assoc_type_id
44,16.0,assoc_codes,code,assoc_codes,c_assoc_code,Primary,Long,0,,
45,18.0,assoc_codes,desc,assoc_codes,c_assoc_desc,,Text,1,,
46,19.0,assoc_codes,descchn,assoc_codes,c_assoc_desc_chn,,Text,0,,
47,17.0,assoc_codes,pair,assoc_codes,c_assoc_pair,,Long,1,,
48,,,,ASSOC_CODES,c_assoc_pair2,,Integer,1,ASSOC_CODES,c_assoc_code
49,,,,ASSOC_CODES,c_assoc_role_type,,Text,0,,
50,30.0,assoc_codes,example,assoc_codes,c_example,,Text,1,,
51,29.0,assoc_codes,sortorder,assoc_codes,c_sortorder,,Long,0,,
52,51.0,assoc_data,addr_id,assoc_data,c_addr_id,,Long,1,ADDR_CODES,c_addr_id
53,58.0,assoc_data,社會關係指證人(assoc_claimer_id),assoc_data,c_assoc_claimer_id,,Long,1,BIOG_MAIN,c_personid
54,32.0,assoc_data,社會關係類別(assoc_code),assoc_data,c_assoc_code,Primary,Long,0,ASSOC_CODES,c_assoc_code
55,,,,assoc_data,c_assoc_count,,Integer,1,,
56,62.0,assoc_data,日c_assoc_day,assoc_data,c_assoc_day,,Integer,1,,
57,63.0,assoc_data,日干支c_assoc_day_gz,assoc_data,c_assoc_day_gz,,Integer,1,GANZHI_CODES,c_ganzhi_code
58,36.0,assoc_data,社會關係人(assoc_id),assoc_data,c_assoc_id,Primary,Long,0,BIOG_MAIN,c_personid
59,60.0,assoc_data,閏c_assoc_intercalary,assoc_data,c_assoc_intercalary,,Binary,1,,
60,37.0,assoc_data,社會關係人親屬關係類別(assoc_kin_code),assoc_data,c_assoc_kin_code,Primary,Long,0,,
61,38.0,assoc_data,社會關係人親戚姓名(assoc_kin_id),assoc_data,c_assoc_kin_id,Primary,Long,0,BIOG_MAIN,c_personid
62,61.0,assoc_data,月c_assoc_month,assoc_data,c_assoc_month,,Integer,1,,
63,43.0,assoc_data,社會關係(年號)(assoc_nh_code),assoc_data,c_assoc_nh_code,,Integer,1,nian_hao,c_nianhao_id
64,44.0,assoc_data,社會關係(年)(assoc_nh_year),assoc_data,c_assoc_nh_year,,Integer,1,,
65,45.0,assoc_data,社會關係(時限)(assoc_range),assoc_data,c_assoc_range,,Integer,1,year_range_codes,c_range_code
66,40.0,assoc_data,社會關係年份(assoc_year),assoc_data,c_assoc_year,,Integer,1,,
67,,,,ASSOC_DATA,c_created_by,,Text,0,,
68,,,,ASSOC_DATA,c_created_date,,Text,0,,
69,55.0,assoc_data,就讀學校(school_code),assoc_data,c_inst_code,,Integer,0,SOCIAL_INSTITUTION_CODES,c_inst_code
70,,,,assoc_data,c_inst_name_code,,Integer,0,SOCIAL_INSTITUTION_NAME_CODES,c_inst_name_code
71,34.0,assoc_data,親屬關係類別(kin_code),assoc_data,c_kin_code,Primary,Long,0,KINSHIP_CODES,c_kincode
72,35.0,assoc_data,親戚姓名(kin_id),assoc_data,c_kin_id,Primary,Long,0,BIOG_MAIN,c_personid
73,52.0,assoc_data,作品文學樣式(litgenre_code),assoc_data,c_litgenre_code,,Integer,1,literarygenre_codes,c_lit_genre_code
74,,,,ASSOC_DATA,c_modified_by,,Text,0,,
75,,,,ASSOC_DATA,c_modified_date,,Text,0,,
76,46.0,assoc_data,注(notes),assoc_data,c_notes,,Memo,1,,
77,53.0,assoc_data,場合(occasion_code),assoc_data,c_occasion_code,,Integer,1,OCCASION_CODES,c_occasion_code
78,42.0,assoc_data,pages,assoc_data,c_pages,,Text,1,,
79,33.0,assoc_data,personid,assoc_data,c_personid,Primary,Long,0,BIOG_MAIN,c_personid
80,39.0,assoc_data,次序(sequence),assoc_data,c_sequence,,Integer,1,,
81,41.0,assoc_data,出處(source),assoc_data,c_source,,Long,0,TEXT_CODES,c_textid
82,,,,ASSOC_DATA,c_tertiary_personid,,Long,1,BIOG_MAIN,c_personid
83,56.0,assoc_data,作品標題(text_title),assoc_data,c_text_title,,Text,0,,
84,54.0,assoc_data,學術主題(topic_code),assoc_data,c_topic_code,,Integer,1,SCHOLARLYTOPIC_CODES,c_topic_code
85,,,,ASSOC_TYPES,c_assoc_type_desc,,Text,0,,
86,,,,ASSOC_TYPES,c_assoc_type_desc_chn,,Text,0,,
87,,,,ASSOC_TYPES,c_assoc_type_id,Primary Key,Text,0,,
88,,,,ASSOC_TYPES,c_assoc_type_level,,Integer,0,,
89,,,,ASSOC_TYPES,c_assoc_type_parent_id,,Text,0,,
90,,,,ASSOC_TYPES,c_assoc_type_short_desc,,Text,0,,
91,,,,ASSOC_TYPES,c_assoc_type_sortorder,,Integer,0,,
92,65.0,assume_office_codes,assume_code,assume_office_codes,c_assume_office_code,Primary,Integer,0,,
93,67.0,assume_office_codes,assume_desc,assume_office_codes,c_assume_office_desc,,Text,0,,
94,66.0,assume_office_codes,assume_chn,assume_office_codes,c_assume_office_desc_chn,,Text,0,,
95,73.0,biog_addr_codes,desc,biog_addr_codes,c_addr_desc,,Text,0,,
96,74.0,biog_addr_codes,descchn,biog_addr_codes,c_addr_desc_chn,,Text,0,,
97,75.0,biog_addr_codes,note,biog_addr_codes,c_addr_note,,Text,1,,
98,72.0,biog_addr_codes,type,biog_addr_codes,c_addr_type,Primary,Integer,0,,
99,78.0,biog_addr_data,c_addr_id,biog_addr_data,c_addr_id,Primary,Long,0,ADDR_CODES,c_addr_id
100,79.0,biog_addr_data,地址類別(c_addr_type),biog_addr_data,c_addr_type,Primary,Integer,0,BIOG_ADDR_CODES,c_addr_type
101,,,,BIOG_ADDR_DATA,c_created_by,,Text,0,,
102,,,,BIOG_ADDR_DATA,c_created_date,,Text,0,,
103,81.0,biog_addr_data,始年(c_firstyear),biog_addr_data,c_firstyear,,Integer,1,,
104,97.0,biog_addr_data,始年(日)c_fy_day,biog_addr_data,c_fy_day,,Integer,1,,
105,99.0,biog_addr_data,始年(日干支)c_fy_day_gz,biog_addr_data,c_fy_day_gz,,Integer,1,GANZHI_CODES,c_ganzhi_code
106,93.0,biog_addr_data,始年(閏)c_fy_intercalary,biog_addr_data,c_fy_intercalary,,binary,1,,
107,95.0,biog_addr_data,始年(月)c_fy_month,biog_addr_data,c_fy_month,,Integer,1,,
108,86.0,biog_addr_data,始年年代碼(c_fy_nh_code),biog_addr_data,c_fy_nh_code,,Integer,1,nian_hao,c_nianhao_id
109,88.0,biog_addr_data,始年年(c_fy_nh_year),biog_addr_data,c_fy_nh_year,,Integer,1,,
110,90.0,biog_addr_data,始年時限(c_fy_range),biog_addr_data,c_fy_range,,Integer,1,year_range_codes,c_range_code
111,82.0,biog_addr_data,終年(c_lastyear),biog_addr_data,c_lastyear,,Integer,1,,
112,98.0,biog_addr_data,終年(日)c_ly_day,biog_addr_data,c_ly_day,,Integer,1,,
113,100.0,biog_addr_data,終年(日干支)c_ly_day_gz,biog_addr_data,c_ly_day_gz,,Integer,1,GANZHI_CODES,c_ganzhi_code
114,94.0,biog_addr_data,終年(閏)c_ly_intercalary,biog_addr_data,c_ly_intercalary,,binary,1,,
115,96.0,biog_addr_data,終年(月)c_ly_month,biog_addr_data,c_ly_month,,Integer,1,,
116,87.0,biog_addr_data,終年年代碼(c_ly_nh_code),biog_addr_data,c_ly_nh_code,,Integer,1,nian_hao,c_nianhao_id
117,89.0,biog_addr_data,終年年(c_ly_nh_year),biog_addr_data,c_ly_nh_year,,Integer,1,,
118,91.0,biog_addr_data,終年時限(c_ly_range),biog_addr_data,c_ly_range,,Integer,1,year_range_codes,c_range_code
119,,,,BIOG_ADDR_DATA,c_modified_by,,Text,0,,
120,,,,BIOG_ADDR_DATA,c_modified_date,,Text,0,,
121,92.0,biog_addr_data,娘家地址(c_natal),biog_addr_data,c_natal,,binary,1,,
122,85.0,biog_addr_data,注(c_notes),biog_addr_data,c_notes,,Memo,1,,
123,84.0,biog_addr_data,頁數/條目(c_pages),biog_addr_data,c_pages,,Text,1,,
124,77.0,biog_addr_data,c_personid,biog_addr_data,c_personid,Primary,Long,0,BIOG_MAIN,c_personid
125,80.0,biog_addr_data,遷徙次序(c_sequence),biog_addr_data,c_sequence,Primary,Integer,0,,
126,83.0,biog_addr_data,出處(c_source),biog_addr_data,c_source,,Long,0,TEXT_CODES,c_textid
127,,,,BIOG_INST_CODES,c_bi_role_chn,,Text,0,,
128,,,,BIOG_INST_CODES,c_bi_role_code,Primary Key,Integer,0,,
129,,,,BIOG_INST_CODES,c_bi_role_desc,,Text,0,,
130,,,,BIOG_INST_CODES,c_notes,,Text,1,,
131,,,,BIOG_INST_DATA,c_bi_begin_year,,Integer,1,,
132,,,,BIOG_INST_DATA,c_bi_by_nh_code,,Integer,1,NIAN_HAO,c_nianhao_id
133,,,,BIOG_INST_DATA,c_bi_by_nh_year,,Integer,1,,
134,,,,BIOG_INST_DATA,c_bi_by_range,,Integer,1,YEAR_RANGE_CODES,c_range_code
135,,,,BIOG_INST_DATA,c_bi_end_year,,Integer,1,,
136,,,,BIOG_INST_DATA,c_bi_ey_nh_code,,Integer,1,NIAN_HAO,c_nianhao_id
137,,,,BIOG_INST_DATA,c_bi_ey_nh_year,,Integer,1,,
138,,,,BIOG_INST_DATA,c_bi_ey_range,,Integer,1,YEAR_RANGE_CODES,c_range_code
139,,,,BIOG_INST_DATA,c_bi_role_code,Primary Key,Integer,0,BIOG_INST_CODES,c_bi_role_code
140,,,,BIOG_INST_DATA,c_inst_code,Primary Key,Integer,0,SOCIAL_INSTITUTION_CODES,c_inst_code
141,,,,BIOG_INST_DATA,c_inst_name_code,Primary Key,Integer,0,SOCIAL_INSTITUTION_CODES,c_inst_name_code
142,,,,BIOG_INST_DATA,c_notes,,Memo,1,,
143,,,,BIOG_INST_DATA,c_pages,,Text,0,,
144,,,,BIOG_INST_DATA,c_personid,Primary Key,Long,0,BIOG_MAIN,c_personid
145,,,,BIOG_INST_DATA,c_source,,Long,0,TEXT_CODES,c_textid
146,111.0,biog_main,生年,biog_main,c_birthyear,,Integer,1,,
147,143.0,biog_main,生年(日)(c_by_day),biog_main,c_by_day,,Integer,1,,
148,145.0,biog_main,生年(日干支)(c_by_day_gz),biog_main,c_by_day_gz,,Integer,1,GANZHI_CODES,c_ganzhi_code
149,139.0,biog_main,生年(閏)(c_by_intercalary),biog_main,c_by_intercalary,,Binary,1,,
150,141.0,biog_main,生年(月)(c_by_month),biog_main,c_by_month,,Integer,1,,
151,112.0,biog_main,生年(年號)(by_nh_code),biog_main,c_by_nh_code,,Integer,1,nian_hao,c_nianhao_id
152,113.0,biog_main,生年(年)(by_nh_year),biog_main,c_by_nh_year,,Integer,1,,
153,114.0,biog_main,生年時限(by_range),biog_main,c_by_range,,Integer,1,year_range_codes,c_range_code
154,135.0,biog_main,郡望(choronym_code),biog_main,c_choronym_code,,Integer,1,choronym_codes,c_choronym_code
155,,,,BIOG_MAIN,c_created_by,,Text,0,,
156,,,,BIOG_MAIN,c_created_date,,Text,0,,
157,119.0,biog_main,享年(death_age),biog_main,c_death_age,,Integer,1,,
158,120.0,biog_main,享年範圍(death_age_appro),biog_main,c_death_age_approx,,Integer,1,year_range_codes,c_range_code
159,115.0,biog_main,卒年(death year),biog_main,c_deathyear,,Integer,1,,
160,134.0,biog_main,朝代(dy),biog_main,c_dy,,Integer,0,dynasties,c_dy
161,144.0,biog_main,卒年(日)(c_dy_day),biog_main,c_dy_day,,Integer,1,,
162,146.0,biog_main,卒年(日干支)(c_dy_day_gz),biog_main,c_dy_day_gz,,Integer,1,GANZHI_CODES,c_ganzhi_code
163,140.0,biog_main,卒年(閏)(c_dy_intercalary),biog_main,c_dy_intercalary,,Binary,1,,
164,142.0,biog_main,卒年(月)(c_dy_month),biog_main,c_dy_month,,Integer,1,,
165,116.0,biog_main,卒年(年號)(dy_nh_code),biog_main,c_dy_nh_code,,Integer,1,nian_hao,c_nianhao_id
166,117.0,biog_main,卒年(年)(dy_nh_year),biog_main,c_dy_nh_year,,Integer,1,,
167,118.0,biog_main,卒年時限(dy_range),biog_main,c_dy_range,,Integer,1,year_range_codes,c_range_code
168,109.0,biog_main,種族(ethnicity_code),biog_main,c_ethnicity_code,,Integer,1,ETHNICITY_CODES,c_ethnicity_code
169,108.0,biog_main,性別(原female),biog_main,c_female,,Binary,0,,
170,121.0,biog_main,在世始年(fl_earliest_year),biog_main,c_fl_earliest_year,,Integer,1,,
171,122.0,biog_main,在世始年(年號)(fl_ey_nh_code),biog_main,c_fl_ey_nh_code,,Integer,1,nian_hao,c_nianhao_id
172,123.0,biog_main,在世始年(年)(fl_ey_nh_year),biog_main,c_fl_ey_nh_year,,Integer,1,,
173,124.0,biog_main,在世始年(注)(fl_ey_notes),biog_main,c_fl_ey_notes,,Text,1,,
174,125.0,biog_main,在世終年(fl_latest_year),biog_main,c_fl_latest_year,,Integer,1,,
175,126.0,biog_main,在世終年(年號)(fl_ly_nh_code),biog_main,c_fl_ly_nh_code,,Integer,1,nian_hao,c_nianhao_id
176,127.0,biog_main,在世終年(年)(fl_ly_nh_year),biog_main,c_fl_ly_nh_year,,Integer,1,,
177,128.0,biog_main,在世終年(注)(fl_ly_notes),biog_main,c_fl_ly_notes,,Text,1,,
178,,,,BIOG_MAIN,c_household_status_code,,Integer,1,HOUSEHOLD_STATUS_CODES,c_household_status_code
179,107.0,biog_main,指數年(index year),biog_main,c_index_year,,Integer,1,,
180,132.0,biog_main,(mingzi),biog_main,c_mingzi,,Text,0,,
181,133.0,biog_main,名(mingzi_chn),biog_main,c_mingzi_chn,,Text,0,,
182,,,,BIOG_MAIN,c_mingzi_proper,,Text,1,,
183,,,,BIOG_MAIN,c_mingzi_rm,,Text,1,,
184,,,,BIOG_MAIN,c_modified_by,,Text,0,,
185,,,,BIOG_MAIN,c_modified_date,,Text,0,,
186,103.0,biog_main,姓名(英)(name),biog_main,c_name,,Text,0,,
187,104.0,biog_main,姓名(中)(name_chn),biog_main,c_name_chn,,Text,0,,
188,,,,BIOG_MAIN,c_name_proper,,Text,1,,
189,,,,BIOG_MAIN,c_name_rm,,Text,1,,
190,138.0,biog_main,注,biog_main,c_notes,,Memo,1,,
191,102.0,biog_main,person id,biog_main,c_personid,Primary,Long,0,,
192,,,,BIOG_MAIN,c_self_bio,,Binary,1,,
193,129.0,biog_main,(surname),biog_main,c_surname,,Text,1,,
194,130.0,biog_main,姓(surname_chn),biog_main,c_surname_chn,,Text,1,,
195,,,,BIOG_MAIN,c_surname_proper,,Text,1,,
196,,,,BIOG_MAIN,c_surname_rm,,Text,1,,
197,110.0,biog_main,部、族(tribe),biog_main,c_tribe,,Integer,1,,
198,,,,BIOG_SOURCE_DATA,c_main_source,,Binary,0,,
199,,,,BIOG_SOURCE_DATA,c_notes,,Memo,1,,
200,,,,BIOG_SOURCE_DATA,c_pages,Primary Key,Text,0,,
201,,,,BIOG_SOURCE_DATA,c_personid,Primary Key,Long,0,BIOG_MAIN,c_personid
202,,,,BIOG_SOURCE_DATA,c_self_bio,,Binary,0,,
203,,,,BIOG_SOURCE_DATA,c_textid,Primary Key,Long,0,TEXT_CODES,c_textid
204,150.0,choronym_codes,descchn,choronym_codes,c_choronym_chn,,Text,0,,
205,148.0,choronym_codes,code,choronym_codes,c_choronym_code,Primary,Integer,0,,
206,149.0,choronym_codes,desc,choronym_codes,c_choronym_desc,,Text,0,,
207,152.0,country_codes,code,country_codes,c_country_code,Primary,Integer,0,,
208,153.0,country_codes,desc,country_codes,c_country_desc,,Text,0,,
209,154.0,country_codes,descchn,country_codes,c_country_desc_chn,,Text,0,,
210,,,,DATABASE_LINK_CODES,c_db_contact_person,,Text,0,,
211,,,,DATABASE_LINK_CODES,c_db_date_of_origin,,Text,0,,
212,,,,DATABASE_LINK_CODES,c_db_id,Primary Key,Integer,0,,
213,,,,DATABASE_LINK_CODES,c_db_institution,,Text,0,,
214,,,,DATABASE_LINK_CODES,c_db_institution_trans_chn,,Text,0,,
215,,,,DATABASE_LINK_CODES,c_db_institution_trans_eng,,Text,0,,
216,,,,DATABASE_LINK_CODES,c_db_name,,Text,0,,
217,,,,DATABASE_LINK_CODES,c_db_name_trans_chn,,Text,0,,
218,,,,DATABASE_LINK_CODES,c_db_name_trans_eng,,Text,0,,
219,,,,DATABASE_LINK_CODES,c_db_notes,,Memo,0,,
220,,,,DATABASE_LINK_CODES,c_db_URL,,Text,0,,
221,,,,DATABASE_LINK_CODES,c_db_URL_first_string,,Text,0,,
222,,,,DATABASE_LINK_CODES,c_db_URL_second_string,,Text,0,,
223,,,,DATABASE_LINK_DATA,c_db_id,Primary Key,Integer,0,DATABASE_LINK_CODES,c_db_id
224,,,,DATABASE_LINK_DATA,c_db_sys_id,Primary Key,Long,0,,
225,,,,DATABASE_LINK_DATA,c_person_id,Primary Key,Long,0,BIOG_MAIN,c_personid
226,157.0,dynasties,dy,dynasties,c_dy,Primary,Integer,0,,
227,158.0,dynasties,dynasty,dynasties,c_dynasty,,Text,0,,
