字段,中文意思
c_assoc_nh_code,社会关系的年号代码
c_fy_month,始年月份
c_assoc_day_gz,关系的天数（干支）
c_pages,页码
c_surname_proper,非汉语姓氏的原写法
c_name_rm,非汉语全名的罗马拼音写法
c_ly_day_gz,终年天数(干支)
c_assoc_nh_year,社会关系的年号
c_kin_code,如可知，记录中通过其建立关系的主要个人的亲属的代码
c_autogen_notes,自动生成反向关系备注
c_female,是否为女性
c_assoc_count,建立社会关系的事件总数
c_event_code,事件代码
c_created_by,数据创建人
c_possession_act_code,人与物品之间的关系类别的代码
c_by_day,出生日
c_counter,单位
c_possession_record_id,财产ID
c_posting_notes,入仕之后立刻被任命的官职
c_dy_nh_code,死亡年年号代码
c_text_nh_code,成书年年号代码
c_assoc_kin_id,如可知，记录中通过其建立关系的关系人的亲属的代码
c_bi_by_nh_code,始年年号代码
c_fy_day_gz,始年天数(干支)
c_category_1,官职的第一层官/署归属
c_age,入仕时的年龄
c_measure_code,物品、货币、书籍、和空间等数量单位的代码
c_ly_nh_code,终年年号代码
c_supplement,并称、合称
c_by_day_gz,出生日干支
c_possession_desc,财产的介绍
c_mingzi,名字
c_title,文本标题
c_surname,姓
c_part_of_instance_notes,丛书实例备注
c_instance_title_trans,版本实例的译名
c_surname_chn,中文姓
c_name,地址名称
c_office_chn,官／署的中文名称
c_lastyear,地址名称终止年
c_text_type_id,著作分类
c_name_chn,地址中文名称
c_text_country,成书地
c_instance_title_chn,版本实例的中文名
c_household_status_code,所属户籍代码
c_deathyear,死亡年
c_pub_nh_year,出版年
c_url_homepage,资料来源网站
c_month,事件发生月
c_assoc_range,社会关系产生时间范围。如之前、之后、约等
c_posting_id,官职ID
c_nianhao_id,入仕年年号ID
c_extant,文本的存佚情况
c_tribe,种族部族
c_fl_ly_notes,在世末年备注
c_title_chn,文本中文标题
c_entry_nh_year,入仕年年号
c_nh_code,事件发生年年号
c_index_year_type_code,指数年用何种方式计算得出
c_dy_nh_year,死亡年年号
c_by_nh_year,出生年年号
c_text_nh_year,成书年
c_notes,备注
c_range_code,年份范围代码
c_attempt_count,考试尝试次数
c_bibl_cat_code,XXX
c_entry_code,入仕方式代码
c_natal,是否为生地
c_text_year,成书时间
c_possession_yr,年份
c_fy_intercalary,始年月份是否为闰月
c_main_source,是否为传记核心材料
c_possession_nh_yr,年号年
c_fl_earliest_year,在世始年，如生卒年情况不详
c_source,出处
c_number,数量
c_fl_ey_nh_code,在世始年年号代码
c_fl_latest_year,在世末年，如生卒年情况不详
c_nh_year,事件发生年
c_addr_type,地址类别
c_assoc_month,关系的月份
c_bi_ey_nh_year,终年年号
c_office_chn_alt,官／署的其它中文名称
c_by_month,出生月
c_modified_date,数据修改日期
c_office_category_id,职官类别（阶官，勋爵等）ID
c_fy_nh_code,始年年号代码
c_dy_day_gz,死亡日干支
c_assoc_id,关联人的ID
c_ly_month,终年月份
c_year,入仕年
c_possession_yr_range,年份范围
c_name_proper,非汉语全名的原写法
c_fl_ly_nh_year,在世末年年号
c_exam_rank,考试名次
c_addr_id,地址ID
c_litgenre_code,确立关系的著作类型的代码，如相关
c_office_trans,官／署名称的翻译
c_office_id_old,用于数据库维护的临时表
c_death_age,死亡年龄
c_appt_type_code,除授类别代码
c_inst_code,确立关系的社会机构的代码
c_created_date,数据创建日期
c_fy_range,始年范围
c_status_code,社会状态
c_self_bio,是否为传记核心人物
c_event,发生的事件
c_dy_intercalary,死亡年是否有闰月
c_office_trans_alt,官／署名称的其它翻译
c_ethnicity_code,少数民族划分代码
c_sequence,关系的顺序，如果个人不知道实际日期
c_fl_ey_notes,在世始年备注
c_inst_name_code,确立关系的社会机构名称
c_possession_desc_chn,财产的中文介绍
c_fy_nh_year,始年年号
c_title_trans,文本标题翻译
c_instance_title,版本实例的拼音
c_url_api,资料来源API
c_fl_ey_nh_year,在世始年年号
c_day_ganzhi,事件发生日（干支）
c_kin_id,如可知，记录中通过其建立关系的主要个人的亲属的ID
c_bi_by_nh_year,始年年号
c_alt_name,个人的别名
c_day,事件发生日
c_period,著作时代
c_role_id,人物在文本创建中的角色ID
c_assoc_claimer_id,声称关系存在的个人的ID
c_death_age_range,死亡年龄范围
c_pub_notes,出版信息备注
c_intercalary,事件发生年是否有闰月
c_bi_begin_year,始年
c_bi_role_code,个人在机构中的角色代码
c_alt_name_chn,个人的别名（中文）
c_index_year,指数年
c_pub_year,出版年
c_surname_rm,非汉语姓氏的罗马拼音写法
c_posting_id_old,用于数据库维护的临时表
tts_sysno,大铎公司的系统编号
c_assume_office_code,个人是否赴任的代码
c_fl_ly_nh_code,在世末年年号代码
c_delete,用于数据库维护的临时表
c_part_of_instance,丛书实例ID
c_tertiary_personid,第三方关联人的ID
c_pub_dy,出版朝代
c_entry_range,入仕年年份范围
c_assoc_code,社会关系代码
c_ly_day,终年天数
c_index_addr_type_code,指数地址类型
c_mingzi_proper,非汉语名字的原写法
c_bi_ey_range,终年年份范围
c_parental_status,双亲状态
c_firstyear,地址名称起始年
c_birthyear,出生年
c_pub_loc,出版地
c_office_id_backup,官／署ID备份
c_dy_month,死亡月
c_pub_nh_code,出版年年号代码
c_office_pinyin,官／署名称的拼音
c_dy_range,死亡年范围
c_occasion_code,确立关系的场合
c_dy,朝代
c_assoc_intercalary,社会关系建立时间的月份是否为闰月
c_ly_nh_year,终年年号
c_topic_code,确立关系所围绕的学术话题
c_office_pinyin_alt,官／署名称的其它拼音
c_text_range_code,成书年范围
c_index_addr_id,指数地址
c_assoc_year,关系的年份
c_choronym_code,"郡望, 用于确认中古家族的“地址＋姓氏“代码"
c_modified_by,数据修改人
c_possession_nh_code,年号代码
c_category_4,官职的第四层官/署归属
c_assoc_kin_code,如可知，记录中通过其建立关系的关系人的亲属的ID
c_event_record_id, 事件ID
c_yr_range,事件发生年年份范围
c_bi_by_range,始年年份范围
c_dy_day,死亡日
c_text_title,确立关系的作品题目，如相关
c_bi_end_year,终年
c_category_2,官职的第二层官/署归属
c_ly_range,终年范围
c_by_range,出生年范围
c_by_intercalary,出生年是否有闰月
c_fy_day,始年天数
c_textid,文本ID
c_text_instance_id,版本实例ID
c_role,人在事件中扮演的角色
c_by_nh_code,出生年年号代码
c_category_3,官职的第三层官/署归属
c_mingzi_chn,中文名字
c_text_edition_id,版本ID
c_assoc_day,关系的天数
c_alt_name_type_code,别名类别代码
c_mingzi_rm,非汉语名字的罗马拼音写法
c_exam_field,考试科目
c_publisher,出版机构
c_bi_ey_nh_code,终年年号代码
c_office_id,官／署ID
c_quantity,数量
c_title_alt_chn,文本标题中文别名
c_pub_country,出版国
c_personid,个人ID
c_print,版本信息
c_ly_intercalary,终年月份是否为闰月
c_index_year_source_id,指数年来源
c_pub_range_code,出版年范围
c_suffix_version,
c_text_dy,成书朝代
