column_code,meaning_cn,meaning_en,data_type,coded,code_table,note,affiliated_table
c_addr_id,地址ID,address ID,,,,,ADDRESSES
c_addr_cbd,用于数据库维护的临时表,the temporary table for maintenance,,,,,ADDRESSES
c_name,地址名称,address name,,,,,ADDRESSES
c_name_chn,地址中文名称,address Chinese name,,,,,ADDRESSES
c_admin_type,行政区类别,administrative type,,,,,ADDRESSES
c_firstyear,地址名称起始年,address name first year used,,,,,ADDRESSES
c_lastyear,地址名称终止年,address name last year used,,,,,ADDRESSES
x_coord,x轴,x coordinate,,,,,ADDRESSES
y_coord,y轴,y coordinate,,,,,ADDRESSES
belongs1_ID,第一层从属行政区ID,upper level administrative unit ID,,,,,ADDRESSES
belongs1_Name,第一层从属行政区名称,upper level administrative unit name,,,,,ADDRESSES
belongs2_ID,第二层从属行政区ID,upper second-level administrative unit ID,,,,,ADDRESSES
belongs2_Name,第二层从属行政区名称,upper second-level administrative unit name,,,,,ADDRESSES
belongs3_ID,第三层从属行政区ID,upper third-level administrative unit ID,,,,,ADDRESSES
belongs3_Name,第三层从属行政区名称,upper third-level administrative unit name,,,,,ADDRESSES
belongs4_ID,第四层从属行政区ID,upper fourth-level administrative unit ID,,,,,ADDRESSES
belongs4_Name,第四层从属行政区名称,upper fourth-level administrative unit name,,,,,ADDRESSES
belongs5_ID,第五层从属行政区ID,upper fifth-level administrative unit ID,,,,,ADDRESSES
belongs5_Name,第五层从属行政区名称,upper fifth-level administrative unit name,,,,,ADDRESSES
c_belongs_to,从属行政区,upper level administrative unit it belongs to,,,,,ADDR_BELONGS_DATA
c_source,出处,source,,,,,ADDR_BELONGS_DATA
c_pages,页码,pages,,,,,ADDR_BELONGS_DATA
c_notes,备注,notes,,,,,ADDR_BELONGS_DATA
CHGIS_PT_ID,中国历史地理信息系统地点 ID,CHGIS point ID,,,,,ADDR_CODES
c_alt_names,别名,alternative name,,,,,ADDR_CODES
c_place_id,地址ID（经纬度）,address ID (longitude and latitude),,,,带有经纬度的标准单位的替代物,ADDR_PLACE_DATA
c_source_reference,,,,,,*?,ADDR_XY
c_source_id,出处ID,source ID,,,,,ADDR_XY
c_name_type_code,别名类别代码,code of various alternate name types,,,,,ALTNAME_CODES
c_name_type_desc,别名类别的介绍,description of various alternative name types,,,,,ALTNAME_CODES
c_name_type_desc_chn,别名类别的中文介绍,Chinese description of various alternative name types,,,,,ALTNAME_CODES
tts_sysno,大铎公司的系统编号,tts company's system number,,,,,ALTNAME_DATA
c_personid,个人ID,person ID,,,,,ALTNAME_DATA
c_alt_name,个人的别名,person's alternative name(s),,,,,ALTNAME_DATA
c_alt_name_chn,个人的别名（中文）,person 's alternative name(s) in Chinese,,,,,ALTNAME_DATA
c_alt_name_type_code,别名类别代码,code of various alternate name types,,,,,ALTNAME_DATA
c_created_by,数据创建人,creator of data,,,,,ALTNAME_DATA
c_created_date,数据创建日期,data created data,,,,,ALTNAME_DATA
c_modified_by,数据修改人,modifier of date,,,,,ALTNAME_DATA
c_modified_date,数据修改日期,data modified date,,,,,ALTNAME_DATA
c_appt_type_code,除授类别代码,code of various appoitment types,,,,,APPOINTMENT_TYPE_CODES
c_appt_type_desc_chn,除授类别的中文介绍,Chinese description of various appointment types,,,,,APPOINTMENT_TYPE_CODES
c_appt_type_desc,除授类别的介绍,description of various appointment types,,,,,APPOINTMENT_TYPE_CODES
check,待检查,waiting for check,,,,,APPOINTMENT_TYPE_CODES
c_assoc_code,社会关系代码,code of non-kin relationship social relations ,,,,,ASSOC_CODES
c_assoc_pair,社会关系的反向关系。如老师的反向关系是学生,paired asscociation type. i.e. the paired association of a teacher is a student,,,,*?,ASSOC_CODES
c_assoc_pair2,多个社会反向关系中的另一个,another paired association type,,,,,ASSOC_CODES
c_assoc_desc,社会关系的介绍,description of non-kin relationship social relations,,,,,ASSOC_CODES
c_assoc_desc_chn,社会关系的中文介绍,Chinese description of non-kin relationship social relations,,,,,ASSOC_CODES
c_assoc_role_type,社会关系方向,initiative or passive relationship in the association ,,,,"A: Initiative, P: passive, M: no direction",ASSOC_CODES
c_sortorder,社会关系顺序,non-kin relationship social relation's sorted order,,,,,ASSOC_CODES
c_example,社会关系范例,the example of social relations,,,,,ASSOC_CODES
c_assoc_type_id,社会关系类别ID,non-kin relationship social relation's type,,yes,ASSOC_TYPES,,ASSOC_CODE_TYPE_REL
c_kin_code,如可知，记录中通过其建立关系的主要个人的亲属的代码,"the code of the kin of the main person in the record through who the association exists, if any",,,,*?,ASSOC_DATA
c_kin_id,如可知，记录中通过其建立关系的主要个人的亲属的ID,"the ID of the kin of the main person in the record through who the association exists, if any",,,,*?,ASSOC_DATA
c_assoc_id,关联人的ID,the ID of the associate,,,,,ASSOC_DATA
c_assoc_kin_code,如可知，记录中通过其建立关系的关系人的亲属的ID,"the ID of the kin of the associate through who the association exists, if any",,,,*?,ASSOC_DATA
c_assoc_kin_id,如可知，记录中通过其建立关系的关系人的亲属的代码,"the code of the kin of the associate through who the association exists, if any",,,,*?,ASSOC_DATA
c_tertiary_personid,第三方关联人的ID,the ID of the thertiary associate ,,,,,ASSOC_DATA
c_assoc_count,建立社会关系的事件总数,this gives the number of objects or events that established the association,,,,,ASSOC_DATA
c_sequence,关系的顺序，如果个人不知道实际日期,"the sequence of an association, if one does not know the actual date",,,,,ASSOC_DATA
c_assoc_year,关系的年份,the year of the association,,,,,ASSOC_DATA
c_assoc_nh_code,社会关系的年号代码,the code of the year (nianhao) of the association ,,,,,ASSOC_DATA
c_assoc_nh_year,社会关系的年号,the year (nianhao) of the association ,,,,,ASSOC_DATA
c_assoc_range,社会关系产生时间范围。如之前、之后、约等,the year range of the start year of the association,,,,,ASSOC_DATA
c_litgenre_code,确立关系的著作类型的代码，如相关,"the code of the genre of the writing that establishes the association, if relevant",,,,,ASSOC_DATA
c_occasion_code,确立关系的场合,the occation on which the association was established,,,,,ASSOC_DATA
c_topic_code,确立关系所围绕的学术话题,the scholarly topic around which the association was formed,,,,,ASSOC_DATA
c_inst_code,确立关系的社会机构的代码,the social institution at or through which the association was established,,,,,ASSOC_DATA
c_inst_name_code,确立关系的社会机构名称,the name of the social institution at or through which the association was established,,,,,ASSOC_DATA
c_text_title,确立关系的作品题目，如相关,"the title of the work that established the association, if relevant",,,,,ASSOC_DATA
c_assoc_claimer_id,声称关系存在的个人的ID,the ID of the person claiming the existence of the association,,,,,ASSOC_DATA
c_assoc_intercalary,社会关系建立时间的月份是否为闰月,wether it is a intercalary month while building the asssociation ,,,,?,ASSOC_DATA
c_assoc_month,关系的月份,the month of the association,,,,,ASSOC_DATA
c_assoc_day,关系的天数,the day of the association,,,,,ASSOC_DATA
c_assoc_day_gz,关系的天数（干支）,the day of the association (ganzhi),,,,,ASSOC_DATA
c_assoc_type_desc,社会关系的介绍,non-kin relationship social relation's discription,,,,,ASSOC_TYPES
c_assoc_type_desc_chn,社会关系的中文介绍,non-kin relationship social relation's Chinese discription,,,,,ASSOC_TYPES
c_assoc_type_parent_id,上一级社会关系,upper level non-kin relationship social relations,,,,,ASSOC_TYPES
c_assoc_type_level,社会关系层级,non-kin relationship social relation's level/hierachy,,,,,ASSOC_TYPES
c_assoc_type_sortorder,社会关系顺序,non-kin relationship social relation's sorted order,,,,,ASSOC_TYPES
c_assoc_type_short_desc,社会关系英文简称,non-kin relationship social relations short descpription,,,,,ASSOC_TYPES
c_assume_office_code,个人是否赴任的代码,codes that indicating whether a person took up the posting ,,,,,ASSUME_OFFICE_CODES
c_assume_office_desc_chn,个人是否赴任的中文介绍,describing in Chinese whether a person took up the posting,,,,,ASSUME_OFFICE_CODES
c_assume_office_desc,个人是否赴任的介绍,describing whether a person took up the posting,,,,,ASSUME_OFFICE_CODES
c_addr_type,地址类别,addesss types,,,,,BIOG_ADDR_CODES
c_addr_desc,地址类别的介绍,description of various address types,,,,,BIOG_ADDR_CODES
c_addr_desc_chn,地址类别的中文介绍,Chinese description of various address types,,,,,BIOG_ADDR_CODES
c_addr_note,地址类别的备注,notes of the address type,,,,,BIOG_ADDR_CODES
c_index_addr_rank,指数地址候选者(biog_addr_codes)的排序,the rank of candidate biog_addr_codes for index address,,,,,BIOG_ADDR_CODES
c_index_addr_default_rank,指数地址候选者(biog_addr_codes)的默认排序,the default rank of candidate biog_addr_codes for index address,,,,,BIOG_ADDR_CODES
c_fy_nh_code,始年年号代码,code of first year (ninahao) ,,,,,BIOG_ADDR_DATA
c_ly_nh_code,终年年号代码,code of last year (ninahao),,,,,BIOG_ADDR_DATA
c_fy_nh_year,始年年号,first year (ninahao) ,,,,,BIOG_ADDR_DATA
c_ly_nh_year,终年年号,last year (ninahao),,,,,BIOG_ADDR_DATA
c_fy_range,始年范围,the year range of the first year,,,,,BIOG_ADDR_DATA
c_ly_range,终年范围,the year range of the last year,,,,,BIOG_ADDR_DATA
c_natal,是否为生地,whether the address is this person's natal place,,,,"0 is no, 1 is yes",BIOG_ADDR_DATA
c_fy_intercalary,始年月份是否为闰月,whether there is a intercalary month in the first year,,,,,BIOG_ADDR_DATA
c_ly_intercalary,终年月份是否为闰月,whether there is a intercalary month in the first year,,,,,BIOG_ADDR_DATA
c_fy_month,始年月份,month of the first year,,,,,BIOG_ADDR_DATA
c_ly_month,终年月份,month of the last year,,,,,BIOG_ADDR_DATA
c_fy_day,始年天数,day of the first year,,,,,BIOG_ADDR_DATA
c_ly_day,终年天数,day of the last year,,,,,BIOG_ADDR_DATA
c_fy_day_gz,始年天数(干支),day (ganzhi) of the first year,,,,,BIOG_ADDR_DATA
c_ly_day_gz,终年天数(干支),day (ganzhi) of the last year,,,,,BIOG_ADDR_DATA
c_delete,用于数据库维护的临时表,the temporary table for maintenance,,,,,BIOG_ADDR_DATA
c_bi_role_code,个人在机构中的角色代码,Institutional role code,,,,,BIOG_INST_CODES
c_bi_role_desc,个人在机构中的角色介绍,description of Institutional role code,,,,,BIOG_INST_CODES
c_bi_role_chn,个人在机构中的角色中文介绍,Chinese description of Institutional role code,,,,,BIOG_INST_CODES
c_bi_begin_year,始年,the begin year of this biographical instituion record ,,,,,BIOG_INST_DATA
c_bi_by_nh_code,始年年号代码,the code of the begin year (nianhao) of this biographical instituion record ,,,,,BIOG_INST_DATA
c_bi_by_nh_year,始年年号,the begin year (nianhao) of this biographical instituion record ,,,,,BIOG_INST_DATA
c_bi_by_range,始年年份范围,the range of the begin year (nianhao) of this biographical instituion record ,,,,,BIOG_INST_DATA
c_bi_end_year,终年,the end year of this biographical instituion record ,,,,,BIOG_INST_DATA
c_bi_ey_nh_code,终年年号代码,the code of the end year (nianhao) of this biographical instituion record ,,,,,BIOG_INST_DATA
c_bi_ey_nh_year,终年年号,the end year (nianhao) of this biographical instituion record ,,,,,BIOG_INST_DATA
c_bi_ey_range,终年年份范围,the range of the end year (nianhao) of this biographical instituion record ,,,,,BIOG_INST_DATA
c_index_year,指数年,index years,,,,,BIOG_MAIN
c_index_year_type_code,指数年用何种方式计算得出,how did we calculated his/her index year,,,,,BIOG_MAIN
c_index_year_source_id,指数年来源,whose information was used to calcuate his/her index year,,,,,BIOG_MAIN
c_female,是否为女性,whether this person is a female,,,,"if no, print 0; if yes, print 1",BIOG_MAIN
c_index_addr_id,指数地址,index address,,,,,BIOG_MAIN
c_index_addr_type_code,指数地址类型,the type of the index address,,,,,BIOG_MAIN
c_ethnicity_code,少数民族划分代码,the ethinicity code of this person,,,,,BIOG_MAIN
c_household_status_code,所属户籍代码,the household status code of this person,,,,士农工商,BIOG_MAIN
c_tribe,种族部族,person's tribe,,,,,BIOG_MAIN
c_birthyear,出生年,the birth-year  of this person ,,,,,BIOG_MAIN
c_by_nh_code,出生年年号代码,the birth-year  code of this person (nianhao),,,,,BIOG_MAIN
c_by_nh_year,出生年年号,the brith year of this person,,,,,BIOG_MAIN
c_by_range,出生年范围,the birth-year  range of this person,,,,,BIOG_MAIN
c_deathyear,死亡年,the death-year  of this person ,,,,,BIOG_MAIN
c_dy_nh_code,死亡年年号代码,the death-year  code of this person (nianhao),,,,,BIOG_MAIN
c_dy_nh_year,死亡年年号,the death-year  of this person,,,,,BIOG_MAIN
c_dy_range,死亡年范围,the death-year  range of this person,,,,,BIOG_MAIN
c_death_age,死亡年龄,the death age of this person,,,,,BIOG_MAIN
c_death_age_range,死亡年龄范围,the death age range of this person,,,,,BIOG_MAIN
c_fl_earliest_year,在世始年，如生卒年情况不详,"the earliest floruit year, if precise dates of brith and death are not available  ",,,,,BIOG_MAIN
c_fl_ey_nh_code,在世始年年号代码,the code of the earliest floruit year (nianhao),,,,,BIOG_MAIN
c_fl_ey_nh_year,在世始年年号,the earliest floruit year (nianhao),,,,,BIOG_MAIN
c_fl_ey_notes,在世始年备注,the notes of the earliest floruit year,,,,,BIOG_MAIN
c_fl_latest_year,在世末年，如生卒年情况不详,"the latest floruit year, if precise dates of brith and death are not available  ",,,,,BIOG_MAIN
c_fl_ly_nh_code,在世末年年号代码,the code of the latest floruit year (nianhao),,,,,BIOG_MAIN
c_fl_ly_nh_year,在世末年年号,the latest floruit year (nianhao),,,,,BIOG_MAIN
c_fl_ly_notes,在世末年备注,the notes of the latest floruit year,,,,,BIOG_MAIN
c_surname,姓,surname of the person,,,,,BIOG_MAIN
c_surname_chn,中文姓,surname in Chinese,,,,,BIOG_MAIN
c_mingzi,名字,firstname of the person,,,,,BIOG_MAIN
c_mingzi_chn,中文名字,firstname of the person in Chinese,,,,,BIOG_MAIN
c_dy,朝代,dynasty,,,,,BIOG_MAIN
c_choronym_code,"郡望, 用于确认中古家族的“地址＋姓氏“代码",codes for the place and surname used to identity medieval clans,,,,,BIOG_MAIN
c_by_intercalary,出生年是否有闰月,whether the birth year has a intercalary month,,,,,BIOG_MAIN
c_dy_intercalary,死亡年是否有闰月,whether the death year has a intercalary month,,,,,BIOG_MAIN
c_by_month,出生月,birth-month  of the person,,,,,BIOG_MAIN
c_dy_month,死亡月,death-month  of the person,,,,,BIOG_MAIN
c_by_day,出生日,birthday of the person,,,,,BIOG_MAIN
c_dy_day,死亡日,death-day of the person,,,,,BIOG_MAIN
c_by_day_gz,出生日干支,birthday of the person (ganzhi),,,,,BIOG_MAIN
c_dy_day_gz,死亡日干支,death-day of the person (ganzhi),,,,,BIOG_MAIN
TTSMQ_db_ID,大铎公司明清数据库人物ID,the person ID from the Mingqing database in TTS company,,,,,BIOG_MAIN
MQWWLink,明清妇女著作项目链接,link to Mingqing Women's Writing,,,,,BIOG_MAIN
KyotoLink,Kyoto唐代项目链接,link to Kyoto,,,,,BIOG_MAIN
c_surname_proper,非汉语姓氏的原写法,,,,,,BIOG_MAIN
c_mingzi_proper,非汉语名字的原写法,,,,,,BIOG_MAIN
c_name_proper,非汉语全名的原写法,,,,,,BIOG_MAIN
c_surname_rm,非汉语姓氏的罗马拼音写法,,,,,,BIOG_MAIN
c_mingzi_rm,非汉语名字的罗马拼音写法,,,,,,BIOG_MAIN
c_name_rm,非汉语全名的罗马拼音写法,,,,,,BIOG_MAIN
c_self_bio,是否为传记核心人物,whether the person is the main character in the biogarphy,,,,"if no, print 0; if yes, print 1",BIOG_MAIN
c_textid,文本ID,text ID,,,,,BIOG_SOURCE_DATA
c_main_source,是否为传记核心材料,whether the text used is the main source of the biography ,,,,,BIOG_SOURCE_DATA
c_choronym_desc,郡望的介绍,the description of choronym,,,,,CHORONYM_CODES
c_choronym_chn,郡望的中文介绍,the Chinese description of choronym,,,,,CHORONYM_CODES
ID,,,,,,,COPYMISSINGTABLES
TableName,,,,,,,COPYMISSINGTABLES
c_country_code,国家代码,codes for various countries,,,,,COUNTRY_CODES
c_country_desc,国家介绍,description for various countries,,,,,COUNTRY_CODES
c_country_desc_chn,国家中文介绍,Chinese description for various countries,,,,,COUNTRY_CODES
c_db_id,数据库ID,database ID,,,,,DATABASE_LINK_CODES
c_db_URL,数据库URL链接,URL of the database ,,,,,DATABASE_LINK_CODES
c_db_name,数据库名称,the name of the database,,,,,DATABASE_LINK_CODES
c_db_name_trans_chn,数据库名称中文翻译,the name of the database translated in Chinese,,,,,DATABASE_LINK_CODES
c_db_name_trans_eng,数据库名称英文翻译,the name of the database translated in English,,,,,DATABASE_LINK_CODES
c_db_institution,数据库机构,the institution related to the database,,,,,DATABASE_LINK_CODES
c_db_institution_trans_chn,数据库机构中文翻译,the Chinese translation of the institution,,,,,DATABASE_LINK_CODES
c_db_institution_trans_eng,数据库机构英文翻译,the English translation of the institution,,,,,DATABASE_LINK_CODES
c_db_date_of_origin,数据库开始日期,the origin date of the database,,,,,DATABASE_LINK_CODES
c_db_contact person,数据库联系人,the contact person of the database,,,,,DATABASE_LINK_CODES
c_DB_URL_FIRST_STRING,URL 的第一部分,the first part of the URL,,,,,DATABASE_LINK_CODES
c_DB_URL_SECOND_STRING,URL 的第二部分,the second part of the URL,,,,,DATABASE_LINK_CODES
c_person_id,个人ID,person ID,,,,,DATABASE_LINK_DATA
c_db_sys_id,数据库系统ID,database's system ID,,,,,DATABASE_LINK_DATA
c_dynasty,朝代名称,name of the dynasty,,,,,DYNASTIES
c_dynasty_chn,朝代中文名称,Chinese name of the dynasty,,,,,DYNASTIES
c_start,朝代开始时间,the starting time of this dynasty,,,,,DYNASTIES
c_end,朝代结束时间,the ending time fo this dynasty,,,,,DYNASTIES
c_sort,序号,sorting number ,,,,,DYNASTIES
c_entry_code,入仕方式代码,the code of the means used to enter into institutions,,,,,ENTRY_CODES
c_entry_desc,入仕方式介绍,the description of the means used to enter into institutions,,,,,ENTRY_CODES
c_entry_desc_chn,入仕方式中文介绍,the Chinese description of the means used to enter into institutions,,,,,ENTRY_CODES
c_entry_type,宽泛的入仕方式代码,the code of the broad methods used to enter into institutions,,,,,ENTRY_CODE_TYPE_REL
c_exam_rank,考试名次,the rank of the exam,,,,,ENTRY_DATA
c_year,入仕年,the year of entering the institution,,,,,ENTRY_DATA
c_age,入仕时的年龄,the age while entering the institution,,,,,ENTRY_DATA
c_nianhao_id,入仕年年号ID,the ID of the year (nianhao) of entering the institution,,,,,ENTRY_DATA
c_entry_nh_year,入仕年年号,the year (nianhao) of entering the institution,,,,,ENTRY_DATA
c_entry_range,入仕年年份范围,the year range of the entry year of the institution,,,,,ENTRY_DATA
c_exam_field,考试科目,the field of the examination,,,,,ENTRY_DATA
c_parental_status,双亲状态,the status of the person's parents,,,,,ENTRY_DATA
c_attempt_count,考试尝试次数,the amount of attempting the exam ,,,,,ENTRY_DATA
c_posting_notes,入仕之后立刻被任命的官职,the immediate posting after entering the instituion,,,,,ENTRY_DATA
c_entry_type_desc,宽泛的入仕方式介绍,the description of the broad methods used to enter into institutions,,,,,ENTRY_TYPES
c_entry_type_desc_chn,宽泛的入仕方式中文介绍,the Chinese description of the broad methods used to enter into institutions,,,,,ENTRY_TYPES
c_entry_type_parent_id,父母是否健在,the ID of the existence of parents,,,,,ENTRY_TYPES
c_entry_type_level,入仕方式的种类,various types of methods used to enter into institutions,,,,,ENTRY_TYPES
c_entry_type_sortorder,入仕方式排序,the sorted order of entry types,,,,,ENTRY_TYPES
c_group_code,上层分族,the code of upper group,,,,?,ETHNICITY_TRIBE_CODES
c_subgroup_code,上层子族,the code of upper subgroup,,,,?,ETHNICITY_TRIBE_CODES
c_altname_code,别名ID,the ID of alternative names,,,,*,ETHNICITY_TRIBE_CODES
c_ethno_legal_cat,种族的现代分类,the modern category of ethnicity,,,,,ETHNICITY_TRIBE_CODES
c_romanized,名称的罗马拼音,romanized name ,,,,,ETHNICITY_TRIBE_CODES
JiuTangShu,旧唐书,Old Book of Tang,,,,Wikipedia,ETHNICITY_TRIBE_CODES
XinTangShu,新唐书,New Book of Tang,,,,,ETHNICITY_TRIBE_CODES
JiuWudaiShi,旧五代史,Old History of the Five Dynasties,,,,,ETHNICITY_TRIBE_CODES
